Questions,PaperID,StudyID,DVID,LeadAuthor,Year,Domain,Pnum,PnumExperts,PnumIntermediate,PnumNovice,ExpertiseIVOp,ExpertiseIVDef,DecisionDVType,DecisionDVDelib,DecisionDVBias,DecisionDVStakes,DecisionDVObj,MainEffect,MainEffectStat,ModeratorsSig,ModeratorsNonSig,MediatorsSig,MediatorsNonSig,Notes,,,,
,1,,1,Abreu,2012,3,32,16,,16,2,2,4,2,3,1,1,1,1,,,,,,,,,
,1,,2,Abreu,2012,3,32,16,,16,2,2,4,2,3,1,1,1,1,,,,,,,,,
,651,,4,Adelman,1982,17,30,12,18,,2,3,4,3,3,2,0,0,1,aid use,,,,,,,,
,651,,5,Adelman,1982,17,30,12,18,,2,3,4,3,3,2,0,0,1,aid use,,,,,,,,
,651,,6,Adelman,1982,17,30,12,18,,2,3,4,3,3,2,0,0,1,aid use,,,,police more confident than social workers; no difference between social workers and lay people,,,,
,651,,1,Adelman,1982,17,30,12,18,,2,3,4,3,3,2,1,0,1,,aid use,,,,,,,
,651,,2,Adelman,1982,17,30,12,18,,2,3,4,3,3,2,1,0,1,,aid use,,,,,,,
,651,,3,Adelman,1982,17,30,12,18,,2,3,4,3,3,2,1,0,1,,aid use,,,,,,,
,656,,7,Akehurst,2004,17,58,,,,2,1,10,4,3,2,0,1,1,truthful or fabricated statements,,,,,,,,
,656,,8,Akehurst,2004,17,40,police v social,,,2,1,10,4,3,2,0,1,18,,,,,,,,,
,656,,9,Akehurst,2004,17,44,police v lay,,,2,1,10,4,3,2,0,1,18,,,,,,,,,
,656,,10,Akehurst,2004,17,32,lay v social,,,2,1,10,4,3,2,0,0,18,,,,,,,,,
,656,,6,Akehurst,2004,17,58,,,,5,1,10,4,3,2,0,0,1,truthful or fabricated statements,,,,,,,,
,656,,1,Akehurst,2004,17,58,,,,2,1,7,4,3,2,1,0,1,,before or after training,,,,,,,
,656,,2,Akehurst,2004,17,58,,,,5,1,7,4,3,2,1,0,1,,,,,,,,,
