Included in Data Table?,PaperID,Expertise IV or Expert sample,Sample(s),DV,Lead Author,Year,Title,Abstract,Journal,Volume,Start Page,End Page,Database,Authors,
,1,X,Expert vs novice basketball players ,Making early predictions about sport specific actions ,Abreu,2012,Action anticipation beyond the action observation network: A functional magnetic resonance imaging study in expert basketball players,"The ability to predict the actions of others is quintessential for effective social interactions, particularly in competitive contexts (e.g. in sport) when knowledge about upcoming movements allows anticipating rather than reacting to opponents. Studies suggest that we predict what others are doing by using our own motor system as an internal forward model and that the frontoâ€",European Journal of Neuroscience,35,1646,1654,PsycINFO ," Abreu, A. M.
Abreu
A. M.
Neuroimaging and Social Neuroscience Laboratories
Santa Lucia Foundation, IRCCS
Rome
Italy
amabreu@fmh.utl.pt , Macaluso, E.
Macaluso
E.
Neuroimaging and Social Neuroscience Laboratories
Santa Lucia Foundation, IRCCS
Rome
Italy , Azevedo, R. T.
Azevedo
R. T.
Neuroimaging and Social Neuroscience Laboratories
Santa Lucia Foundation, IRCCS
Rome
Italy , Cesari, P.
Cesari
P.
Department of Neurological, Neurophysiological, Morphological and Movement Sciences
University of Verona
Verona
Italy , Urgesi, C.
Urgesi
C.
Department of Human Sciences
University of Udine
Udine
Italy , Aglioti, S. M.
Aglioti
S. M.
Neuroimaging and Social Neuroscience Laboratories
Santa Lucia Foundation, IRCCS
Rome
Italy
salvatoremaria.aglioti@uniroma1.it",
9,3,X,Trainees,Performance,Ackerman,1995,Cognitive and noncognitive determinants and consequences of complex skill acquisition,"Integration of multiple perspectives on the determinants of individual differences in skill acquisition is provided by examination of a wide array of predictors: ability (spatial, verbal, mathematical, and perceptual speed), personality (neuroticism, extroversion, openness, conscientiousness, and agreeableness), vocational interests (realistic and investigative), self-estimates of ability, self-concept, motivational skills, and task-specific self-efficacy. Ninety-three trainees were studied over the course of 15 hr (across 2 weeks) of skill acquisition practice on a complex, air traffic controller simulation task (Terminal Radar Approach Controller; TRACON; Wesson International, Austin, TX). Across task practice, measures of self-efficacy, and negative and positive motivational thought occurrence were collected to examine prediction of later performance and communality with pretask measures, Results demonstrate independent and interactive influences of ability tests and self-report measures in predicting training task performance. Implications for the selection process are discussed in terms of communalities observed in the predictor space. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Journal of Experimental Psychology: Applied,1,270,304,PsycARTICLES," Ackerman, Phillip L.
Ackerman
Phillip L.
U Minnesota, Dept of Psychology, Minneapolis
US , Kanfer, Ruth
Kanfer
Ruth , Goff, Maynard
Goff
Maynard",
,4,X,Expert vs novice players,Response accuracy,Alder,2014,The coupling between gaze behavior and opponent kinematics during anticipation of badminton shots,"Purpose: We examined links between the kinematics of an opponent’s actions and the visual search behaviors of badminton players responding to those actions. Method: A kinematic analysis of international standard badminton players ( n = 4) was undertaken as they completed a range of serves. Video of these players serving was used to create a life-size temporal occlusion test to measure anticipation responses. Expert ( n = 8) and novice ( n = 8) badminton players anticipated serve location while wearing an eye movement registration system. Results: During the execution phase of the opponent’s movement, the kinematic analysis showed between-shot differences in distance traveled and peak acceleration at the shoulder, elbow, wrist and racket. Experts were more accurate at responding to the serves compared to novice players. Expert players fixated on the kinematic locations that were most discriminating between serve types more frequently and for a longer duration compared to novice players. Moreover, players were generally more accurate at responding to serves when they fixated vision upon the discriminating arm and racket kinematics. Conclusions: Findings extend previous literature by providing empirical evidence that expert athletes’ visual search behaviors and anticipatory responses are inextricably linked to the opponent action being observed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Human Movement Science,37,167,179,PsycINFO ," Alder, David
Alder
David
Liverpool John Moores University
Liverpool
United Kingdom
d.alder@2008.ljmu.ac.uk , Ford, Paul R.
Ford
Paul R.
Liverpool John Moores University
Liverpool
United Kingdom
p.ford@ljmu.ac.uk , Causer, Joe
Causer
Joe
Liverpool John Moores University
Liverpool
United Kingdom
j.causer@ljmu.ac.uk
0000-0002-8939-8769 , Williams, A. Mark
Williams
A. Mark
Brunel University
Uxbridge
United Kingdom
mark.williams@brunel.ac.uk",
9,5,X,Novices,accuracy in diagnosis,Aldridge,2011,Novice Identification of Melanoma: Not Quite as Straightforward as the ABCDs,"The ""ABCD"" mnemonic to assist non-experts' diagnosis of melanoma is widely promoted; however, there are good reasons to be sceptical about public education strategies based on analytical, rule-based approaches such as ABCD (i.e. Asymmetry, Border Irregularity, Colour Uniformity and Diameter). Evidence suggests that accurate diagnosis of skin lesions is achieved predominately through non-analytical pattern recognition (via training examples) and not by rule-based algorithms. If the ABCD are to function as a useful public education tool they must be used reliably by untrained novices, with low inter-observer and intra-diagnosis variation, but with maximal inter-diagnosis differences. The three subjective properties (the ABCs of the ABCD) were investigated experimentally: 33 laypersons scored 40 randomly selected lesions (10 lesions x 4 diagnoses: benign naevi, dysplastic naevi, melanomas, seborrhoeic keratoses) for the three properties on visual analogue scales. The results (n=3,960) suggest that novices cannot use the ABCs reliably to discern benign from malignant lesions.",ACTA DERMATO-VENEREOLOGICA,91,125,130,Web of Science,"Aldridge, R. Benjamin; Zanotto, Matteo; Ballerini, Lucia; Fisher, Robert B.; Rees, Jonathan L.",
,6,X,public vs police officers,Guilty judgments,Alison,2012,When do we Believe Experts? The Power of the Unorthodox View,"This paper examines the extent to which orthodoxy (degree of typicality) and congruence (degree of similarity with own opinion) mediate the influence of expert advice on decision makers' judgments. Overall, 227 members of the public and 60 police officers completed an online questionnaire involving an investigation into a child sex offence. Participants were asked to first (i) formulate their own ""profile"" of a likely offender then (ii) estimate the guilt of two presented suspect descriptions (orthodox vs. unorthodox), and, following the presentation of an ""expert's"" profile that matched either the orthodox or the unorthodox suspect, (iii) re-evaluate their guilt judgments of the two suspects based on this new advice. Finally, (iv) the perceived similarity (congruence) between the participants' own and the expert profile was assessed. Results revealed two key findings. First, expert profiles that matched a suspect's description elevated perceptions of guilt in that suspect, whilst also, simultaneously, very significantly decreasing the perception of guilt of the alternative suspect. This suggests a powerful rejection and downward revision of the other suspect. Second, perceived similarity of the profile (to one's own profile) was only a significant factor in increasing guilt judgments when assigning guilt to the unorthodox (as opposed to orthodox) suspect. Comparisons of lay judgments with those of police officers revealed few significant differences in effects. The finding that advice is most influential when unorthodox and incongruent suggests that decision makers are more likely to reevaluate judgments when expert advice contributes novel information that contradicts their beliefs. The practical implications of these findings are discussed for profilers, police, and decision research in general.",BEHAVIORAL SCIENCES & THE LAW,30,729,748,Web of Science,"Alison, Laurence; Almond, Louise; Christiansen, Paul; Waring, Sara; Power, Nicola; Villejoubert, Gaelle",
,7,X,varying expertise,decision time and errors,Andrews,2008,Decision times and errors increase when classifying trunk postures near posture bin boundaries,"The purpose of this study was to quantify decision time and classification errors made during trunk posture assessment tasks using a computerised sampling approach. Ninety (45 male, 45 female) university-aged participants, who had varying expertise with body posture evaluation, were asked to accurately classify a series of static images of the trunk using a computer interface by selecting the posture category or 'bin', within which the presented posture fell. Images were presented randomly in either a flexion/extension or lateral bending view at various distances from the boundary lines of each posture bin. Subjects with the least experience performed the tasks in the shortest amount of time; however, they also made the most errors. Expert participants reduced the number of classification errors by increasing the time of each posture classification decision. The flexion/extension task proved to take more time and resulted in more errors than the lateral bend task. The closer the presented images were to the bin boundaries, the greater was the time taken and errors made during posture classification. These data have implications for the design of posture classification biomechanical software interfaces and the training of operators who utilise the software. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Theoretical Issues in Ergonomics Science,9,425,440,PsycINFO ," Andrews, D. M.
Andrews
D. M.
Department of Kinesiology
University of Windsor
Windsor
ON
Canada
dandrews@uwindsor.ca , Holmes, A. M.
Holmes
A. M.
Department of Kinesiology
University of Windsor
Windsor
ON
Canada , Weir, P. L.
Weir
P. L.
Department of Kinesiology
University of Windsor
Windsor
ON
Canada , Arnold, T. A.
Arnold
T. A.
Department of Kinesiology
University of Windsor
Windsor
ON
Canada , Callaghan, J. P.
Callaghan
J. P.
Department of Kinesiology
University of Waterloo
Waterloo
ON
Canada",
9,9,X,children,social categorization,Apfelbaum,2008,Learning (not) to talk about race: When older children underperform in social categorization,"The present research identifies an anomaly in sociocognitive development, whereby younger children (8 and 9 years) outperform their older counterparts (10 and 11 years) in a basic categorization task in which the acknowledgment of racial difference facilitates performance. Though older children exhibit superior performance on a race-neutral version of the task, their tendency to avoid acknowledging race hinders objective success when race is a relevant category. That these findings emerge in late childhood, in a pattern counter to the normal developmental trajectory of increased cognitive expertise in categorization, suggests that this anomaly indicates the onset of a critical transition in human social development. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Developmental Psychology,44,1513,1518,PsycARTICLES," Apfelbaum, Evan P.
Apfelbaum
Evan P.
Department of Psychology, Tufts University
Medford
MA
US
evan.apfelbaum@tufts.edu , Pauker, Kristin
Pauker
Kristin
Department of Psychology, Tufts University
Medford
MA
US
kristin.pauker@tufts.edu
0000-0002-0848-5159 , Ambady, Nalini
Ambady
Nalini
Department of Psychology, Tufts University
Medford
MA
US , Sommers, Samuel R.
Sommers
Samuel R.
Department of Psychology, Tufts University
Medford
MA
US , Norton, Michael I.
Norton
Michael I.
Harvard Business School
Cambridge
MA
US",
,10,X,Auditors vs inexperienced ppn,Absence of mistakes,Asare,1995,Normative and substantive expertise in multiple hypotheses evaluation,"Distinguished between normative and substantive expertise criteria for evaluating the judgments of trained professionals. 55 practicing auditors were asked to evaluate multiple hypotheses. In evaluating Ss' responses, judgments that departed from a theoretical model were considered errors, while judgments not conforming with known external criteria were considered mistakes. Results confirm the expectation that Ss' multiple hypotheses judgments would be characterized by errors but not mistakes. The absence of mistakes reflects substantive expertise, while the presence of errors reflects a lack of normative expertise. A 2nd study compared the earlier results to those of 47 accounting students (inexperienced Ss) to establish whether the strong substantive performance of the professional auditors was attributed to their expertise or was an artifact of the task. Results support the substantive expertise explanation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Organizational Behavior and Human Decision Processes,64,171,184,PsycINFO ," Asare, Stephen K.
Asare
Stephen K.
U Florida, Fisher School of Accounting, Gainesville
US , Wright, Arnold
Wright
Arnold",
,11,X,varying levels of experienced dentists,Accuracy,Avon,2010,Error rates in bite mark analysis in an in vivo animal model,"Recent judicial decisions have specified that one foundation of reliability of comparative forensic disciplines is description of both scientific approach used and calculation of error rates in determining the reliability of an expert opinion. Thirty volunteers were recruited for the analysis of dermal bite marks made using a previously established in vivo porcine-skin model. Ten participants were recruited from three separate groups: dentists with no experience in forensics, dentists with an interest in forensic odontology, and board-certified diplomates of the American Board of Forensic Odontology (ABFO). Examiner demographics and measures of experience in bite mark analysis were collected for each volunteer. Each participant received 18 completely documented, simulated in vivo porcine bite mark cases and three paired sets of human dental models. The paired maxillary and mandibular models were identified as suspect A, suspect B, and suspect C. Examiners were tasked to determine, using an analytic method of their own choosing, whether each bite mark of the 18 bite mark cases provided was attributable to any of the suspect dentitions provided. Their findings were recorded on a standardized recording form. The results of the study demonstrated that the group of inexperienced examiners often performed as well as the board-certified group, and both inexperienced and board-certified groups performed better than those with an interest in forensic odontology that had not yet received board certification. Incorrect suspect attributions (possible false inculpation) were most common among this intermediate group. Error rates were calculated for each of the three observer groups for each of the three suspect dentitions. This study demonstrates that error rates can be calculated using an animal model for human dermal bite marks, and although clinical experience is useful, other factors may be responsible for accuracy in bite mark analysis. Further, this study demonstrates that even under carefully controlled conditions, albeit in a forced-decision model, errors in interpretation occur even amongst the most experienced analysts. (C) 2010 Elsevier Ireland Ltd. All rights reserved.",FORENSIC SCIENCE INTERNATIONAL,201,45,55,Web of Science,"Avon, S. L.; Victor, C.; Mayhall, J. T.; Wood, R. E.",
,12,X,third vs fourth year nursing students,nursing diagnostic accuracy,Baena,2013,Application of a model based on fuzzy logic for evaluating nursing diagnostic accuracy of students,"Purpose: To describe a model for assessing nursing diagnostic accuracy and its application to undergraduate students, comparing students' performance according to the course year. 

Methods: This model, based on the theory of fuzzy sets, guides a student through three steps: (a) the student must parameterize the model by establishing relationship values between defining characteristic/risk factors and nursing diagnoses; (b) presentation of a clinical case; (c) the student must define the presence of each defining characteristic/risk factors for the clinical case. Subsequently, the model computes the most plausible diagnoses by taking into account the values indicated by the student. This gives the student a performance score in comparison with parameters and diagnoses that were previously provided by nursing experts. These nursing experts collaborated with the construction of the model indicating the strength of the relationship between the concepts, meaning, they parameterized the model to compare the student's choice with the expert's choice (gold standard), thus generating performance scores for the student. The model was tested using three clinical cases presented to 38 students in their third and fourth years of the undergraduate nursing course. 

Results: Third year students showed superior performance in identifying the presence of defining characteristic/risk factors, while fourth year students showed superior performance in the diagnoses by the model. 

Conclusions: The Model for Evaluation of Diagnostic Accuracy Based on Fuzzy Logic applied in this study is feasible and can be used to evaluate students' performance. In this regard, it will open a broad variety of applications for learning and nursing research. 

Limitations: Despite the ease in filling the printed questionnaires out, the number of steps and fields to fill in may explain the considerable number of questionnaires with incorrect or missing data. This was solved in the digital version of the questionnaire. In addition, in more complex cases, it is possible that an expert opinion can lead to a wrong decision due to the subjectivity of the diagnostic process. (C) 2013 Elsevier Ireland Ltd. All rights reserved.",INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,82,875,881,Web of Science,"Baena de Moraes Lopes, Maria Helena; Jensen, Rodrigo; Lopes Monteiro da Cruz, Dina de Almeida; de Oliveira Azevedo Matos, Fabiana Goncalves; Panse Silveira, Paulo Sergio; Siqueira Ortega, Neli Regina",
