Included in Data Table?,PaperID,ExpertiseIVOp,Abstract,Lead Author,Year,Title,Journal,Volume,Start Page,End Page,Database,Authors
9,640,1,"Youth Mental Health First Aid USA (YMHFA) is a manualized training program designed to educate members of the public on common emotional problems and psychological disorders among youth and to provide trainees with tools anyone can use to assist young people in psychological distress. The present study used a pre versus post design to assess the ability of social service employees to generate appropriate strategies to use in hypothetical situations featuring a young person in distress, before versus after participation in the 8-hr YMHFA training. Trainee responses demonstrated significant overall improvement (M = 1.32, SD = 0.80 pretraining vs. M = 1.87, SD = 1.1 posttraining, t = 6.6, p &lt; .001) by including four of the five central YMHFA strategies significantly more often after training. Increased confidence in, likelihood of, and comfort with helping a young person in emotional distress or crisis were also reported posttraining compared to pretraining (all p ≤ .001). Results suggest that individuals participating in YMHFA training are better informed regarding when to assess for risk of suicide, listen nonjudgmentally, encourage appropriate professional help, and encourage self-help strategies with young people in psychological distress. (PsycINFO Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)",Aakre,2016,Evaluation of Youth Mental Health First Aid USA: A program to assist young people in psychological distress,Psychological Services,13,121,126,PsycARTICLES,"Aakre, Jennifer M.;Lucksted, Alicia;Browning-McNee, Lea Ann"
9,641,4,"Background: Pulmonary and critical care physicians routinely make complex decisions, but little is known about cognitive aspects of this process. Omission bias and status quo bias are well-descibed cognitive biases that can cause lay decision makers to prefer inaction that preserves the status quo even when changing the status quo through action is more likely, to lead to the best outcomes. It is unknown if these biases influence trained decision makers such as pulmonologists.Study objectives: To determine whether omission bias and status quo bias influence the medical decisions of pulmonologists.Design and interventions: The study was a randomized controlled trial conducted within a cross-sectional survey of pulmonologists' opinions about the relevance of various factors in pulmonary and critical care decision making. We designed case vignettes that presented patient information with an associated patient management choice. The status quo state and the action/omission distinction were varied in two forms of otherwise identical vignettes. One form of each case vignette pair (A and B) was administered randomly to each prospective respondent during the first mailing of the opinion survey.Participants: Five hundred pulmonologists selected randomly from the membership of the American College of Chest Physicians,Measurements and results: There were 125 respondents, including 59 for form A and 66 form B (enrollment rate, 25%). In vignettes involving evaluation of pulmonary embolism and treatment of septic shock, respondents were more likely to choose a suboptimal management strategy when an omission option was present that allowed preservation of the status quo (71% vs 53%, p = 0.048; 50% vs 29%, p = 0.016, respectively). In a vignette involving a hypothetical clinical trial and the decision to prescribe tube feeding, the omission option was not significantly associated with the decision to prescribe tube feeding (54% vs 50%, p = 0.67).Conclusion: Pulmonary and critical care decisions are susceptible to the influence of omission and status quo bias. Because of the great number of decisions that are made each day involving choices between maintaining or changing the status quo, this finding could have far-reaching implications for patient outcomes, cost-effectiveness, resource utilization, clinical practice variability, and medical errors.",Aberegg,2005,Omission bias and decision making in pulmonary and critical care medicine,CHEST,128,1497,1505,Web of Science,"Aberegg, SK; Haponik, EF; Terry, PB"
9,642,4,"Background. Physicians are slow to adopt novel therapies, and the reasons for this are poorly understood. The authors sought to determine if the size of the treatment effect of a novel therapy influences willingness to adopt it. Methods. We developed 2 experimental vignette pairs describing a trial of a therapy for a hypothetical disease that showed a statistically significant mortality benefit. The size of the mortality effect was varied in vignettes of a pair (3% v. 10%). The 2 experimental vignette pairs differed in whether study enrollment was reported. Vignettes were mailed to a random sample of physicians using an intersubject design. The main study outcome was respondents’ willingness to adopt the hypothetical therapy, based on the results of the hypothetical trial. Results. There were 124 and 89 respondents to vignette pairs 1 and 2, respectively. In vignette pair 1, 91% versus 71% of respondents adopted the therapy when it reduced mortality by 10% and 3%, respectively ( P = 0.0058). For vignette pair 2, 88% versus 51% of respondents adopted the therapy when it reduced mortality by 10% and 3%, respectively ( P = 0.0002). In both vignette pairs, nonadopters were more likely than adopters to report side effects of the therapy as a principal reason for their decision. Conclusions. In this study, respondents were less likely to adopt a lifesaving therapy if its associated mortality reduction was 3% compared to 10%. Because most therapies for major medical conditions reduce mortality within or below this range, and because there were no opportunity costs associated with the adoption of the therapy, we believe that this effect represents a bias. Further investigation will be required to determine its prevalence and mechanism. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Aberegg,2009,The influence of treatment effect size on willingness to adopt a therapy,Medical Decision Making,29,599,605,PsycINFO,"Aberegg, Scott K.;O'Brien, James M.;Khoury, Paneez;Patel, Roocha;Arkes, Hal R."
9,643,4,"We study professional tennis players decisions of whether to challenge umpires calls using data on over 2,000 challenges in 35 tennis tournaments. The decision to challenge, which is simple to characterize, trades off reversing the umpires call against losing subsequent challenge opportunities. Qualitatively, players are more likely to challenge when the stakes are greater and when the option value of challenging is lower, as theory predicts. Quantitatively, players actual behavior is close to an optimal challenging strategy prescribed by a simple dynamic model. Our findings illustrate that professional decision makers develop decision rules that can approximate optimal behavior quite well.",Abramitzky,2012,ON THE OPTIMALITY OF LINE CALL CHALLENGES IN PROFESSIONAL TENNIS,INTERNATIONAL ECONOMIC REVIEW,53,939,963,Web of Science,"Abramitzky, Ran; Einav, Liran; Kolkowitz, Shimon; Mill, Roy"
9,644,4,"Sixty therapists randomly assigned to 1 of 2 priming conditions were primed with African American stereotypes or neutral words using 80-ms flash words on a computer screen. This procedure may activate information processing outside of conscious awareness. After this task, participants were exposed to a brief vignette introducing Mr. X, a patient referred for treatment, and then were asked to rate Mr. X on various dimensions. Results indicate that participants primed with stereotype words rated Mr. X significantly less favorably on hostility-related attributes and significantly more favorably on hostility-unrelated attributes than did participants primed with neutral words. The findings suggest that therapists can be affected by African American stereotypes in ways that produce negative or positive first impressions depending on the nature of the attribute that is rated. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Abreu,1999,Conscious and nonconscious African American stereotypes: Impact on first impression and diagnostic ratings by therapists,Journal of Consulting and Clinical Psychology,67,387,393,PsycARTICLES,"Abreu, José M."
9,645,9,"The aim of this study was to initiate the exploration of debiasing methods applicable in real-life settings for achieving lasting improvement in decision making competence regarding multiple decision biases. Here, we tested the potentials of the analogical encoding method for decision debiasing. The advantage of this method is that it can foster the transfer from learning abstract principles to improving behavioral performance. For the purpose of the study, we devised an analogical debiasing technique for 10 biases (covariation detection, insensitivity to sample size, base rate neglect, regression to the mean, outcome bias, sunk cost fallacy, framing effect, anchoring bias, overconfidence bias, planning fallacy) and assessed the susceptibility of the participants (N = 154) to these biases before and 4 weeks after the training. We also compared the effect of the analogical training to the effect of 'awareness training' and a 'no-training' control group. Results suggested improved performance of the analogical training group only on tasks where the violations of statistical principles are measured. The interpretation of these findings require further investigation, yet it is possible that analogical training may be the most effective in the case of learning abstract concepts, such as statistical principles, which are otherwise difficult to master. The study encourages a systematic research of debiasing trainings and the development of intervention assessment methods to measure the endurance of behavior change in decision debiasing.",Aczel,2015,Is it time for studying real-life debiasing? Evaluation of the effectiveness of an analogical intervention technique,FRONTIERS IN PSYCHOLOGY,6,,,Web of Science,"Aczel, Balazs; Bago, Bence; Szollosi, Aba; Foldes, Andrei; Lukacs, Bence"
9,646,4,"Background: Delayed cancer diagnosis leads to poorer patient outcomes. During short consultations, General Practitioners (GPs) make quick decisions about likelihood of cancer. Patients' facial cues are processed rapidly and may influence diagnosis. Aim: To investigate whether patients' facial characteristics influence immediate perception of cancer risk by GPs. Design and setting: Web-based binary forced choice experiment with GPs from Northeast Scotland. Method: GPs were presented with a series of pairs of face prototypes and asked to quickly select the patient more likely to have cancer. Faces were modified with respect to age, gender, and ethnicity. Choices were analysed using Chi-squared goodness-of-fit statistics with Bonferroni corrections. Results: Eighty-two GPs participated. GPs were significantly more likely to suspect cancer in older patients. Gender influenced GP cancer suspicion, but this was modified by age: the male face was chosen as more likely to have cancer than the female face for young (72% of GPs;95% CI 61.0−87.0) and middle-aged faces (65.9%; 95% CI 54.7−75.5); but 63.4% (95% CI 52.2−73.3) decided the older female was more likely to have cancer than the older male (p = 0.015). GPs were significantly more likely to suspect cancer in the young Caucasian male (65.9% (95% CI 54.7, 75.5)) compared to the young Asian male (p = 0.004). Conclusion: GPs' first impressions about cancer risk are influenced by patient age, gender, and ethnicity. Tackling GP cognitive biases could be a promising way of reducing cancer diagnostic delays, particularly for younger patients. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)",Adam,2017,Do patients’ faces influence general practitioners’ cancer suspicions? A test of automatic processing of sociodemographic information,PLoS ONE,12,,,PsycINFO,"Adam, Rosalind;Garau, Roberta;Raja, Edwin Amalraj;Jones, Benedict;Johnston, Marie;Murchie, Peter"
9,647,9,"Anchoring bias is a decision heuristic evidenced by skewed estimates made after an initial value is considered. The anchoring heuristic is both pervasive and powerful, affecting decision-making processes in many practical contexts. An experiment was conducted to test the effectiveness of both preexisting and new training techniques for mitigating anchoring bias, as well as to test a new type of anchoring bias inducing stimuli. Results show that the training module was effective in helping participants mitigate anchoring bias, and that the new stimuli were effective in eliciting anchoring bias in both high and low anchoring conditions. Additionally, the results provide theoretical evidence anchoring is due, at least in part, to semantic priming. Theoretical implications for the semantic priming and the revised adjustment explanation are discussed. Practical considerations for developing effective online and/or game-based training programs to mitigate the effects of overreliance on the anchoring heuristic are also discussed. (C) 2015 Published by Elsevier Inc.",Adame,2016,Training in the mitigation of anchoring bias: A test of the consider-the-opposite strategy,LEARNING AND MOTIVATION,53,36,48,Web of Science,"Adame, Bradley J."
9,648,9,,ADAMS,1962,TEST OF HYPOTHESIS OF PSYCHOLOGICAL REFRACTORY PERIOD,JOURNAL OF EXPERIMENTAL PSYCHOLOGY,64,280,&,Web of Science,"ADAMS, JA"
9,649,4,"This paper explores differences in how primary care doctors process the clinical presentation of depression by African American and African-Caribbean patients compared with white patients in the US and the UK. The aim is to gain a better understanding of possible pathways by which racial disparities arise in depression care. One hundred and eight doctors described their thought processes after viewing video recorded simulated patients presenting with identical symptoms strongly suggestive of depression. These descriptions were analysed using the CliniClass system, which captures information about micro-components of clinical decision making and permits a systematic, structured and detailed analysis of how doctors arrive at diagnostic, intervention and management decisions. Video recordings of actors portraying black (both African American and African-Caribbean) and white (both White American and White British) male and female patients (aged 55 years and 75 years) were presented to doctors randomly selected from the Massachusetts Medical Society list and from Surrey/South West London and West Midlands National Health Service lists, stratified by country (US v.UK), gender, and years of clinical experience (less v. very experienced). Findings demonstrated little evidence of bias affecting doctors' decision making processes, with the exception of less attention being paid to the potential outcomes associated with different treatment options for African American compared with White American patients in the US. Instead, findings suggest greater clinical uncertainty in diagnosing depression amongst black compared with white patients, particularly in the UK. This was evident in more potential diagnoses. There was also a tendency for doctors in both countries to focus more on black patients' physical rather than psychological symptoms and to identify endocrine problems, most often diabetes, as a presenting complaint for them. This suggests that doctors in both countries have a less well developed mental model of depression for black compared with white patients. (PsycINFO Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)",Adams,2014,Investigating the influence of African American and African Caribbean race on primary care doctors' decision making about depression,Social Science & Medicine,116,161,168,PsycINFO,"Adams, A.;Vail, L.;Buckingham, C. D.;Kidd, J.;Weich, S.;Roter, D."
