LeadAuthor,Year
Abreu,2012
Abreu,2012
Adelman,1982
Adelman,1982
Adelman,1982
Adelman,1982
Adelman,1982
Adelman,1982
Akehurst,2004
Akehurst,2004
Akehurst,2004
Akehurst,2004
Akehurst,2004
Akehurst,2004
Akehurst,2004
Akehurst,2004
Akehurst,2004
Akehurst,2004
Alder,2014
Alder,2014
Alder,2014
Alison,2012
Alison,2012
Anderson,1993
Anderson,1993
Anderson,1993
Andrews,2008
Andrews,2008
Annis,2018
Annis,2018
Annis,2018
Annis,2018
Annis,2018
Annis,2018
Annis,2018
Arinsburg,2012
Arinsburg,2012
Arinsburg,2012
Arinsburg,2012
Arinsburg,2012
Arinsburg,2012
Arinsburg,2012
Arnulf,2010
Arruabarrena,2017
Arruabarrena,2017
Arruabarrena,2017
Arruabarrena,2017
Asare,1995
Asare,1995
Avon,2010
Avon,2010
Bacarese-Hamilton,2013
Bacarese-Hamilton,2013
Bacarese-Hamilton,2013
Bacarese-Hamilton,2013
Baena,2013
Baena,2013
Baena,2013
Bartley,2015
Bartley,2015
Bartley,2015
Bartley,2015
Becker,1994
Becker,1994
Beckham,1989
Beckham,1989
Belter,1999
Belter,1999
Belton,2014
Benjamin,2017
Benjamin,2017
Bennett,2019
Bennett,2019
Bergeron,2004
Bergeron,2004
Bergeron,2004
Berman,2015
Berman,2015
Berman,2015
Berman,2015
Berman,2016
Berman,2016
Berman,2016
Berman,2016
Betcher,2018
Betcher,2018
Betcher,2018
Betcher,2018
Bianco,2017
Bianco,2017
Bianco,2017
Bianco,2017
Biggs,2015
Biggs,2015
Bilalić,2010
Bilalić,2010
Bilalić,2010
Billittier,1998
Billittier,1998
Billittier,1998
Billittier,1998
Bolton,2012
Bolton,2012
Bolton,2012
Bolton,2012
Bolton,2012
Bolton,2012
Bolton,2012
Bolton,2012
Bolton,2012
Borsci,2017
Borsci,2017
Bourkel,2012
Bourkel,2012
Bourkel,2012
Bourkel,2012
Bourkel,2012
Bourkel,2012
Boyle,2018
Boyle,2018
Boyle,2018
Boyle,2018
Boyle,2018
Boyle,2018
Boyle,2018
Boyle,2018
Brailey,2001
Brailey,2001
Brailey,2001
Brailey,2001
Brailey,2001
Brailey,2001
Brams,2018
Brams,2018
Brams,2018
Brault,2012
Brault,2012
Brault,2012
Brault,2012
Brault,2012
Breheny,2017
Bromme,2001
Bromme,2001
Bromme,2001
Bromme,2001
Brooks,1991
Brooks,1991
Bruce,2012
Bruce,2012
Bruce,2012
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Burt,2016
Camponogara,2017
Camponogara,2017
Camponogara,2017
Camponogara,2017
Camponogara,2017
Camponogara,2017
Capio,2019
Capio,2019
Capio,2019
Carlton,2015
Carlton,2015
Carpenter,2016
Catteeuw,2010
Catteeuw,2010
Catteeuw,2010
Catteeuw,2010
Catteeuw,2009
Catteeuw,2009
Catteeuw,2009
Catteeuw,2009
Causse,2011
Causse,2011
Chalkley,2013
Chalkley,2013
Chalkley,2013
Chamberlain,2018
Chamberlain,2018
Chamberlain,2018
Chamberlain,2018
